Year,T2M_RANGE,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS10M_MAX,WS10M_MIN
01/01/2010,18.84,17.45,-1.38,57.5,0,2.93,0.51
02/01/2010,7.07,10.9,3.83,82.56,2.44,2.73,0.34
03/01/2010,15.77,17.23,1.47,66.88,0.91,3.64,0.44
04/01/2010,18.4,17.25,-1.16,56.69,0,3.09,1.88
05/01/2010,17.46,19.3,1.84,58.56,0,2.18,0.23
06/01/2010,12.34,16.68,4.33,60.25,0,2.8,1.21
07/01/2010,13.03,16.39,3.37,59.81,0,3.02,0.21
08/01/2010,12.04,12.79,0.75,68.75,0,2.91,0.52
09/01/2010,19.35,15.76,-3.59,61.38,0,3.23,1.89
10/01/2010,20.02,17.32,-2.7,47.62,0,2.02,0.98
11/01/2010,13.66,16.09,2.43,68.12,0.64,3.69,1.22
12/01/2010,12.48,14.53,2.05,77.75,1.15,3.23,0.31
13/01/2010,16.52,16.51,0,73,0.29,2.77,0.63
14/01/2010,12.94,13.51,0.57,79,1.95,6.74,2.09
15/01/2010,8.88,8.49,-0.38,78.5,1.39,4.82,0.49
16/01/2010,15.99,14.37,-1.62,65.19,0.07,4.01,1.3
17/01/2010,16.51,17.12,0.62,56.5,0,2.88,1.43
18/01/2010,19.09,19.49,0.4,69.06,0,3.53,1.98
19/01/2010,17.1,17.98,0.88,72.19,0,5.87,2.2
20/01/2010,16.6,16.46,-0.14,74.75,0,7.34,2.12
21/01/2010,16.81,17.11,0.3,71.44,0,7.45,2.42
22/01/2010,19.54,18.8,-0.74,58,0,7.45,2.94
23/01/2010,16.55,16.77,0.22,73.81,0.02,9.57,3.55
24/01/2010,19.87,20.3,0.44,58.75,0,3.31,0.87
25/01/2010,23.48,22.07,-1.41,56.88,0,3.98,1.13
26/01/2010,17.43,20.79,3.35,63.31,0,4.43,0.81
27/01/2010,16.42,18.69,2.26,74.69,0.34,6.94,2.37
28/01/2010,12.16,17.13,4.97,74.31,0.15,8.16,3.04
29/01/2010,15.58,18.14,2.56,69.81,0,5.78,2.01
30/01/2010,17.27,18.19,0.92,62.25,0,5.27,1.12
31/01/2010,15.2,14.73,-0.47,77.69,1.22,7.27,2.12
01/02/2010,14.13,17.32,3.19,73.44,0.26,4.63,1.88
02/02/2010,6.24,9.51,3.28,90.62,41.58,4.35,1.9
03/02/2010,6.75,10.33,3.58,87.5,21.83,7.09,1.71
04/02/2010,12.76,12.03,-0.73,75,0.59,6.29,0.26
05/02/2010,21.05,17.47,-3.59,56.56,0.01,2.38,0.66
06/02/2010,15.84,17.94,2.1,49.69,0,4.23,0.88
07/02/2010,14.75,16.62,1.87,51.19,0,5.29,1.63
08/02/2010,15.07,15.87,0.8,76.75,0,5.91,1.75
09/02/2010,16.46,18.13,1.68,64.31,0,5.01,0.97
10/02/2010,12.91,16.91,4,66.56,0.8,6.61,1.72
11/02/2010,11.23,13.65,2.42,78.19,0.97,8.66,0.18
12/02/2010,21.63,19.54,-2.09,50.12,0,2.41,0.96
13/02/2010,15.38,19.68,4.3,49.31,0,4.63,0.87
14/02/2010,15.24,18.77,3.53,64.25,0,3.76,0.88
15/02/2010,16.09,17.91,1.82,67.38,0,2.52,0.65
16/02/2010,11.41,14.32,2.91,74.44,0,3.92,0.89
17/02/2010,7.48,12.36,4.88,82.56,7.4,3.71,0.67
18/02/2010,10.48,13.79,3.32,85.75,21.6,6.67,2.34
19/02/2010,14.45,17.46,3.01,75.94,0.42,3.1,1.67
20/02/2010,15.14,16.99,1.84,68.31,0,5.73,1.78
21/02/2010,17.56,17.75,0.19,63.88,0,5.95,2.35
22/02/2010,20.43,17.92,-2.51,59.06,0,4.38,2.51
23/02/2010,17.24,16.69,-0.54,61.25,0,5.46,1.91
24/02/2010,18.84,14.4,-4.44,50.31,0,5.3,2.27
25/02/2010,19.27,18.47,-0.81,44.88,0,5.62,2.16
26/02/2010,19.47,20.31,0.84,51.94,0,3.23,1.21
27/02/2010,23.93,22.56,-1.37,51.62,0,2.92,0.94
28/02/2010,16.24,18.12,1.87,70.12,0,9.16,3.01
01/03/2010,15.33,17.74,2.41,65.19,0,6.45,0.75
02/03/2010,24.09,20.95,-3.14,52.81,0,3.09,0.38
03/03/2010,18.8,21.4,2.59,51.75,0,4.21,0.85
04/03/2010,17.12,21.4,4.27,49.62,0,4.33,1.18
05/03/2010,11.59,17.49,5.9,56.12,0.01,3.97,1.25
06/03/2010,8.87,16.22,7.36,73,2.71,4.66,1.39
07/03/2010,10.38,16.69,6.32,78.19,1.1,6.77,2.02
08/03/2010,10.84,17.17,6.33,82.38,2.02,7.85,2.3
09/03/2010,16.84,18.7,1.87,62.5,0,7.06,2.14
10/03/2010,18.71,17.69,-1.03,56.69,0,7.39,2.5
11/03/2010,11.34,12.83,1.5,46.94,0,5.29,1.3
12/03/2010,24.24,20.81,-3.43,39.19,0,3.41,1.3
13/03/2010,22.25,22.24,-0.01,37.12,0,4.62,1.2
14/03/2010,15.01,18.57,3.56,38.75,0,3.66,1.45
15/03/2010,13.98,19,5.02,38.25,0.54,3.27,0.95
16/03/2010,15.28,17.5,2.22,57.06,0.08,5.96,2.36
17/03/2010,23.8,22.31,-1.49,40.31,0,3.85,0.84
18/03/2010,18.56,22.68,4.12,44.31,0,6.57,0.84
19/03/2010,19.02,19.98,0.96,63,0,7.67,2.7
20/03/2010,21.8,21.73,-0.06,47.75,0,3.35,0.63
21/03/2010,22.91,20.86,-2.05,48,0,3.84,2.08
22/03/2010,23.45,24.02,0.58,38.44,0,4.39,1.37
23/03/2010,15.32,19.34,4.02,46.56,0,5.69,1.74
24/03/2010,19.62,20.98,1.35,43.38,0,6.78,1.77
25/03/2010,21.16,23.32,2.15,36.19,0,2.91,0.84
26/03/2010,21.99,24.4,2.4,38.81,0,4.75,1.21
27/03/2010,20.89,25.42,4.54,34.88,0,4.41,0.99
28/03/2010,20.77,21.8,1.03,39.69,0,4.77,2.4
29/03/2010,22.71,23.76,1.05,41.19,0,2.86,0.51
30/03/2010,20.21,24.97,4.76,40.5,0,3.09,1.29
31/03/2010,20.23,25.23,5,48.5,0,4.25,1.84
01/04/2010,18.66,22.76,4.1,52.31,0,6.86,2.45
02/04/2010,21.82,24.3,2.48,41.44,0,5.51,1.39
03/04/2010,19.14,25.6,6.46,33.56,0,5.14,0.2
04/04/2010,20.55,26.48,5.93,38.94,0,4.75,1.18
05/04/2010,20.73,27.41,6.69,43.56,0,5.38,0.63
06/04/2010,19,26.3,7.3,43.81,0,6.66,2.34
07/04/2010,20.58,26.05,5.47,47.56,0,5.84,2.05
08/04/2010,21.98,26.98,5.01,46.06,0,4.79,0.8
09/04/2010,13.21,21.73,8.52,63.69,0,5.51,0.25
10/04/2010,17.87,25.03,7.16,65.75,0.01,6.34,0.74
11/04/2010,17.86,25.69,7.83,57.44,0,5.72,1.55
12/04/2010,19.56,25.81,6.25,47.88,0,5.93,0.6
13/04/2010,22.18,25.6,3.42,49.38,0,3.66,0.51
14/04/2010,19.47,26.11,6.64,47.81,0,4.78,0.39
15/04/2010,20.3,25.41,5.12,48.19,0,2.41,0.57
16/04/2010,20.44,27.02,6.58,51.31,0.13,2.67,0.87
17/04/2010,16.16,25.64,9.48,56.19,0.05,4.77,0.74
18/04/2010,17.88,26.56,8.68,57.25,0.02,2,0.33
19/04/2010,16.85,25.06,8.21,54.94,0,6.45,1.45
20/04/2010,20.23,25.23,4.99,55.38,0,5.43,0.59
21/04/2010,18.1,23.79,5.69,51.81,0,6.35,1.85
22/04/2010,17.88,23.79,5.9,51.44,0,9.2,2.82
23/04/2010,13.3,19.15,5.86,62.69,0,8.55,2.84
24/04/2010,21.43,24.55,3.12,42.5,0,6.88,2.05
25/04/2010,21.6,25.62,4.02,29.94,0,4.66,0.3
