Year,T2M_RANGE,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS10M_MAX,WS10M_MIN
01/01/2010,15.92,15.98,0.06,56.19,0,4.11,1.02
02/01/2010,11.46,17.47,6.01,58.06,0.04,3.66,1.77
03/01/2010,17.27,18.38,1.11,53.44,0,4.69,0.94
04/01/2010,13.45,15.37,1.92,66.62,0,4.41,1.18
05/01/2010,18.57,20.17,1.6,67.44,0,3.42,0.34
06/01/2010,19.39,21.33,1.94,45.06,0,4.62,0.88
07/01/2010,17.27,19.23,1.94,50.62,0,5.79,1.44
08/01/2010,10.62,8.12,-2.49,59.19,0,4.72,1.34
09/01/2010,16.59,12.91,-3.68,56.31,0,3.24,1.02
10/01/2010,17.62,15.4,-2.22,45.94,0,4.57,0.19
11/01/2010,17.45,18.66,1.21,43.75,0,5.41,0.27
12/01/2010,10.99,12.48,1.49,74.62,0.18,4.18,1.85
13/01/2010,16.01,17.88,1.87,63.12,0.02,2.89,0.54
14/01/2010,14.52,17.16,2.64,66.19,0.29,5.7,1.03
15/01/2010,7.27,8.96,1.69,83.12,3.24,9.97,1.77
16/01/2010,12.4,15.26,2.87,62.88,0.08,3.16,0.88
17/01/2010,18.02,21.68,3.65,41.31,0,4.83,0.32
18/01/2010,21.62,22.69,1.06,46.12,0,4.41,1.7
19/01/2010,19.52,24.26,4.74,46.62,0,8.9,3.88
20/01/2010,19.09,22.33,3.25,56.44,0,10.7,2.84
21/01/2010,21.33,22.47,1.14,54.88,0,9.77,2.77
22/01/2010,21.86,24.29,2.42,41.5,0.01,13.33,5.6
23/01/2010,16.05,20.71,4.65,51.94,0.01,15.2,2.61
24/01/2010,15.08,17.6,2.52,54.56,0,4.04,0.9
25/01/2010,18.93,19.41,0.48,37.44,0,4.15,0.55
26/01/2010,19.77,23.09,3.32,35.19,0,4.04,0.69
27/01/2010,21.7,24.81,3.12,55.81,0.13,6.71,1.39
28/01/2010,18.16,23.51,5.34,64.31,0.03,11.02,1.92
29/01/2010,16.67,21.49,4.82,55.38,0,2.77,0.57
30/01/2010,17.06,17.8,0.73,58.06,0,6.47,1.66
31/01/2010,19.36,20.8,1.44,54.44,0,5.8,0.11
01/02/2010,17.88,19.98,2.11,57.5,0,3.77,0.87
02/02/2010,14.96,16.98,2.02,64.31,14.67,5.86,2.22
03/02/2010,12.63,17.77,5.14,65.31,1.1,10.57,2.29
04/02/2010,15.45,16.3,0.84,57.44,0,3.42,1.73
05/02/2010,18.91,19.58,0.66,47.75,0,3.77,1.07
06/02/2010,20.09,22.2,2.12,39.75,0,3.3,0.24
07/02/2010,15.14,18.52,3.38,38.75,0,6.05,3.23
08/02/2010,21.91,21.43,-0.49,48.69,0,8.59,2.91
09/02/2010,15.94,19.18,3.24,58.12,0.02,5.08,0.2
10/02/2010,11.27,17.64,6.37,62.38,0.12,4.05,1.21
11/02/2010,12.8,17.15,4.35,46,0.02,12.64,1.13
12/02/2010,18.87,20,1.12,35.06,0,4.04,0.67
13/02/2010,15.72,21.55,5.82,37.69,0,3.28,0.28
14/02/2010,18.2,21.69,3.49,41.5,0,4.52,1.75
15/02/2010,13.16,13.9,0.75,61.94,0,6.29,2
16/02/2010,17.44,18.4,0.97,53.5,0,5.75,0.92
17/02/2010,14.62,17.43,2.8,52.31,0.41,4.91,1.35
18/02/2010,14.57,18.26,3.69,67.94,2.27,3.6,0.71
19/02/2010,17.61,21.37,3.76,56.5,0,4.7,0.49
20/02/2010,19.45,23.36,3.91,52.06,0,7,3.16
21/02/2010,20.03,23.47,3.44,47.44,0,10.09,1.96
22/02/2010,20.49,21.8,1.31,41.88,0,4.91,2.41
23/02/2010,18.82,19.63,0.81,41.5,0,9.93,1.8
24/02/2010,17.53,14.44,-3.09,40.19,0,3.23,0.38
25/02/2010,25.3,24.86,-0.44,27.44,0,8.86,3.52
26/02/2010,18.69,20.46,1.76,36.38,0,5.92,2.3
27/02/2010,21.02,23.22,2.2,37.44,0,4.06,1.17
28/02/2010,21.06,26.12,5.06,42.31,0.01,16.04,3.09
01/03/2010,17.58,20.48,2.9,44.62,0.01,7.57,2.85
02/03/2010,18.15,17.51,-0.63,51.12,0,4.27,1.98
03/03/2010,21.88,25.27,3.4,36.19,0,4.37,1.35
04/03/2010,19.84,24.98,5.14,35.38,0,4.27,0.9
05/03/2010,14.42,22.99,8.58,41,0,3.64,0.1
06/03/2010,8.8,18.65,9.85,67,7.19,6.29,1.01
07/03/2010,12.33,21.73,9.4,64.62,0.45,8.38,3.34
08/03/2010,17.37,24.39,7.03,51.44,0.75,14.77,2.45
09/03/2010,22.7,23.99,1.3,39.88,0,9.8,2.38
10/03/2010,20,22.54,2.54,26.56,0,11.93,3.67
11/03/2010,20.02,23.67,3.65,30.88,0,8.91,2.1
12/03/2010,18.25,20.01,1.76,24.69,0,3.22,1.34
13/03/2010,22.22,24.24,2.02,25.19,0,3.56,0.62
14/03/2010,16.33,23.09,6.76,29.62,0,4.59,2.2
15/03/2010,23.09,26.12,3.02,32.5,0,7.79,1.01
16/03/2010,12.7,16.15,3.45,50.75,0,8.03,2.7
17/03/2010,17.98,19.78,1.8,39.88,0,3.9,0.52
18/03/2010,23.21,27.08,3.87,29.81,0,8.46,1.33
19/03/2010,22.65,25.11,2.46,44.56,0,9.54,4.02
20/03/2010,18.8,22.39,3.58,44.44,0,6.91,3.04
21/03/2010,18.45,19.78,1.33,31,0,3.65,0.95
22/03/2010,23.12,27.05,3.93,25.81,0,3.95,0.23
23/03/2010,18.57,26.91,8.35,29.69,0,7.32,3.11
24/03/2010,22.06,25.6,3.54,38.69,0,7.59,2.84
25/03/2010,18.05,22.03,3.98,34.38,0,5.54,1.45
26/03/2010,22.43,28,5.57,28.88,0,6.02,2.09
27/03/2010,19.77,26.93,7.16,23.81,0,5.19,0.19
28/03/2010,14.61,19.31,4.7,28.88,0,7.02,2.38
29/03/2010,18.46,23.56,5.11,27.94,0.02,3.6,1.03
30/03/2010,23.06,28.24,5.19,24.19,0,4.8,0.49
31/03/2010,23.1,30.56,7.46,32.69,0.05,5.05,0.76
01/04/2010,20.62,29.43,8.8,31.38,0,9.07,4.04
02/04/2010,24.54,29.26,4.72,24.06,0,7.27,1.73
03/04/2010,23.88,30.24,6.36,23.44,0,5.07,0.96
04/04/2010,22.66,29.34,6.68,23.56,0,4.36,1.11
05/04/2010,24.19,32.12,7.94,23.81,0,5.02,1.84
06/04/2010,22.2,33.18,10.98,24.81,0,10.09,2.67
07/04/2010,21.09,29.06,7.97,27.38,0,5.03,1.17
08/04/2010,19.96,25.39,5.44,23.94,0,6.38,1.3
09/04/2010,15.4,25.77,10.37,43.44,0.29,7.4,0.67
10/04/2010,20.31,29.79,9.47,47.31,0.03,5.29,1.45
11/04/2010,19.78,29.41,9.63,40,0,4.2,0.55
12/04/2010,15.93,27.19,11.26,42.31,0.24,5.05,0.84
13/04/2010,14.37,26.55,12.19,55.12,0.03,4.09,1.34
14/04/2010,15.19,29.12,13.94,56.38,0,9.83,2.65
15/04/2010,12,25.69,13.69,59.69,3.43,5.74,3.16
16/04/2010,14.12,26.86,12.73,56.38,0,5.75,0.32
17/04/2010,13.49,25.75,12.26,60.69,0.91,5.07,0.96
18/04/2010,10.97,23.75,12.78,60.25,0.09,5.84,2.1
19/04/2010,14.81,26.72,11.9,56.19,1.06,5.81,1.2
20/04/2010,15.26,26.96,11.7,49.38,0.02,2.9,0.11
21/04/2010,20.77,30.99,10.22,31.69,0,8.33,2.48
22/04/2010,19.06,30.05,10.99,31.38,0.05,14.57,6.72
23/04/2010,17.53,27.23,9.69,38.06,0,16,4.35
24/04/2010,25.87,29.78,3.91,33.31,0,6.31,2.05
25/04/2010,20.66,27.17,6.51,22.56,0,4.65,1.15
26/04/2010,20.63,28.72,8.08,22.69,0,4.26,0.72
27/04/2010,16.12,28.43,12.3,31.31,0,6.17,1.62
28/04/2010,20.01,29.14,9.13,39.31,0,4.58,0.38
29/04/2010,21.76,32.66,10.9,30.62,0,11.24,4.91
30/04/2010,21.42,30.56,9.13,29.19,0,11.88,4.89
01/05/2010,17.66,25.17,7.51,42.25,0.09,11.85,1.66
02/05/2010,21.19,26.98,5.79,31.81,0,4.64,1.23
03/05/2010,21.84,28.37,6.52,21.56,0,7.47,2.17
04/05/2010,21.84,32.26,10.42,13.5,0,3.41,0.54
05/05/2010,23.59,35.12,11.52,16.19,0,4.48,1.31
06/05/2010,23.71,37.22,13.51,22.69,0,4.22,1.98
07/05/2010,19.88,35.34,15.46,19.75,0,5.77,2.69
08/05/2010,20.19,35.89,15.7,33.12,0.78,8.41,0.8
09/05/2010,20.8,36.92,16.12,33.81,0,5.59,0.34
10/05/2010,19.84,35.25,15.41,23.5,0,5.73,2.96
11/05/2010,19.59,35.75,16.15,18.5,0,5.61,1.69
12/05/2010,18.95,34.64,15.69,16.88,0.02,8.8,3.04
13/05/2010,19.51,33.26,13.74,16.25,0.3,6.87,3.04
14/05/2010,20.87,33.59,12.73,17,0,8.09,3.75
15/05/2010,17.99,31.97,13.98,23,0,5.25,1.15
16/05/2010,17.82,31.67,13.86,19.44,0,5.4,0.75
17/05/2010,17.31,31.56,14.25,20.81,0,4.5,0.48
18/05/2010,17.8,33.13,15.33,23.12,0,3.85,0.05
19/05/2010,20.8,35.24,14.44,14.94,0,5.27,0.62
20/05/2010,20.33,34.94,14.61,15,0,5.84,0.09
21/05/2010,21.02,36.33,15.3,21.06,0,5.62,0.69
22/05/2010,20.5,35.65,15.15,20.81,0,5.98,3.67
23/05/2010,21.6,34.81,13.21,20.06,0,5.95,2.07
24/05/2010,20.58,32.74,12.16,22.88,0,4.87,0.22
25/05/2010,19.92,32.42,12.51,24.88,0,5.04,2.47
26/05/2010,16.35,33.21,16.86,45.12,1.85,7.54,1.25
27/05/2010,13.76,31.31,17.55,56.81,3.92,9.7,3.11
28/05/2010,15.16,31.06,15.9,53.94,1.15,5.34,0.42
29/05/2010,13.61,30.24,16.63,52.31,2.17,5.06,0.52
30/05/2010,16,30.76,14.77,45.5,0.31,5.74,1.23
31/05/2010,16.54,32.13,15.58,39.12,0.89,5.41,1.55
01/06/2010,18.47,34.01,15.54,39.56,0.18,4.2,0.31
02/06/2010,17.25,32.35,15.1,32.31,0,4.89,0.56
03/06/2010,18.81,33.99,15.18,27.69,0,5.46,2.05
04/06/2010,19.08,35.71,16.63,22.06,0,4.09,0.68
05/06/2010,19.37,37.15,17.78,19.81,0,5.34,1.06
06/06/2010,19.15,37.48,18.33,20.94,0,7.81,1.46
07/06/2010,10.3,30.92,20.62,43.56,0.21,5.7,1.49
08/06/2010,11.49,29.58,18.09,49.31,4.24,5.57,0.58
09/06/2010,16.91,33.97,17.06,44.75,1.05,4.06,0.49
10/06/2010,15.59,34.33,18.75,40.25,2.35,7.11,0.65
11/06/2010,15.68,34.22,18.54,36.06,0,4.92,0.7
12/06/2010,18.3,36.56,18.26,34.62,0.11,4.14,0.12
13/06/2010,14.96,34.06,19.1,41.25,3.58,6.69,0.81
14/06/2010,15.9,34.51,18.61,39.5,0.71,6.21,1.07
15/06/2010,14.73,34.37,19.65,38.62,0.18,8.74,0.41
16/06/2010,13.41,31.57,18.16,47.25,1.82,5.34,1.6
17/06/2010,15.59,33.4,17.81,47,1.69,5.95,0.99
18/06/2010,12.22,32.41,20.19,45.44,7.74,4.88,1.66
19/06/2010,14.86,34.29,19.43,42.81,1.28,6.27,1.45
20/06/2010,14.17,33.11,18.94,44.62,3.68,5.48,1.11
21/06/2010,16.25,34.33,18.08,37.94,0.74,6.23,0.27
22/06/2010,15.05,34.89,19.84,37.12,0.01,7.16,1.4
23/06/2010,16.65,33.79,17.15,40.44,0.02,6.99,1.66
24/06/2010,14.85,32.54,17.69,45.25,1.3,6.52,1.62
25/06/2010,8.66,28.79,20.13,52.69,2.53,3.95,1.12
26/06/2010,11.63,30.58,18.95,47.62,1.6,5.94,0.38
27/06/2010,8.62,26.85,18.23,65.75,8.14,6.42,1.45
28/06/2010,9.94,26.29,16.35,68.94,8,5.48,1.64
29/06/2010,11.62,29.17,17.55,63.44,2.42,6.61,2.34
30/06/2010,11.34,29.06,17.73,65.69,0.75,8.09,3.5
01/07/2010,6.6,24.19,17.58,79.88,11.68,9.71,4.23
02/07/2010,8.17,25.66,17.5,78.56,19.54,9.95,0.77
03/07/2010,6.77,24.09,17.32,80.06,27.52,6.92,2.18
04/07/2010,6.86,23.72,16.86,78.25,10.66,8.08,1.16
05/07/2010,11.69,27.5,15.81,68.38,0.33,9.88,1.51
06/07/2010,12.73,28.15,15.42,65.69,2.13,6.79,2.2
07/07/2010,8.45,25.58,17.13,76.62,5.79,6.78,2.16
08/07/2010,9,26.5,17.5,72.75,3.14,7.45,1.9
09/07/2010,10.14,26.45,16.31,72.94,5.13,4.75,0.86
10/07/2010,13.27,30.32,17.05,61.88,3.47,5.87,0.82
11/07/2010,14.94,31.44,16.51,53.62,0.01,4.2,1.95
12/07/2010,12.86,31.06,18.2,52.44,4.91,3.55,0.15
13/07/2010,13.2,31.67,18.47,52.94,3.76,4.62,0.42
14/07/2010,16.17,32.92,16.75,46.62,0.43,6.82,1.73
15/07/2010,15.62,32.94,17.33,54.94,0.01,7.2,1.45
16/07/2010,14.2,31.87,17.68,59.75,0.51,6.2,1.66
