Year,T2M_RANGE,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS10M_MAX,WS10M_MIN
01/01/2010,15.99,18.38,2.39,44.5,0,3.42,0.59
02/01/2010,15.99,13,5.31,68.94,0.49,1.81,0.66
03/01/2010,15.99,19.8,1.19,57.12,0.51,2.4,0.18
04/01/2010,15.99,19.8,3.63,44.5,0,2.45,0.46
05/01/2010,15.99,19.93,5.48,55.19,0,1.98,0.4
06/01/2010,15.99,17.58,4.73,57.44,0,2.23,0.23
07/01/2010,15.99,18.15,3.12,59.19,0,2.39,0.18
08/01/2010,15.99,14.93,2.94,71.75,0,2.06,0.48
09/01/2010,15.99,18.43,2.04,51,0,2.38,0.4
10/01/2010,15.99,18.19,2.33,45.06,0,2.25,0.41
11/01/2010,15.99,16.74,5.74,61.62,0.7,2.4,0.1
12/01/2010,15.99,16.36,5.04,72.38,0.32,2.06,0.39
13/01/2010,15.99,17.59,3.86,65.94,0.18,2.55,0.34
14/01/2010,15.99,12.71,3.89,76,0.45,3.16,0.15
15/01/2010,15.99,10.79,0.15,70.94,0.54,2.8,0.63
16/01/2010,15.99,17.01,1.21,56.06,0.1,2.94,0.2
17/01/2010,15.99,17.26,4.99,51.94,0,2.24,0.06
18/01/2010,15.99,18.9,2.46,62.81,0,2.19,0.31
19/01/2010,15.99,17.6,3.74,69.44,0,3.04,0.85
20/01/2010,15.99,15.11,2.06,78,0,3.58,0.29
21/01/2010,15.99,15.51,1.2,61.62,0,3.4,0.54
22/01/2010,15.99,16.51,2.45,59.94,0,3.73,0.9
23/01/2010,15.99,14.08,3.44,83.94,0.36,4.14,0.84
24/01/2010,15.99,19.55,-1.18,52.44,0,2.65,0.33
25/01/2010,15.99,22.6,2.94,45,0,2.81,0.13
26/01/2010,15.99,19.69,5.73,65.5,0,2.7,0.63
27/01/2010,15.99,17.52,3.51,80,2.29,3.49,1.03
28/01/2010,15.99,15.62,7.12,86.88,2.09,3.71,1.53
29/01/2010,15.99,16.64,3.18,69.81,0,3.01,0.24
30/01/2010,15.99,16.9,2.44,65,0,2.85,0.89
31/01/2010,15.99,14.44,0.74,77.88,0.64,3.52,0.75
01/02/2010,15.99,17.11,2.09,69.81,0.24,2.62,0.62
02/02/2010,15.99,12.81,2.8,87.75,43.2,2.67,0.2
03/02/2010,15.99,9.01,1.81,89.38,12.41,3.84,0.41
04/02/2010,15.99,10.98,-0.2,71.88,0.05,2.53,0.06
05/02/2010,15.99,17.94,-1.29,61.38,0,1.95,0.26
06/02/2010,15.99,17.68,3.9,43.19,0,2.36,0.19
07/02/2010,15.99,16.55,2.26,44.94,0,2.79,0.13
08/02/2010,15.99,14.68,1.15,75.56,0,3.05,0.53
09/02/2010,15.99,16.58,0.83,63.44,0.03,2.74,0.16
10/02/2010,15.99,14.36,5.51,68.56,1.28,3.3,0.52
11/02/2010,15.99,12.8,0.6,73.94,0.75,3.69,0.41
12/02/2010,15.99,20.59,-1.39,43.12,0,2.61,0.23
13/02/2010,15.99,18.96,6.94,44.56,0,2.62,0.58
14/02/2010,15.99,18.61,4.15,60.81,0,2.57,0.05
15/02/2010,15.99,18.86,3.3,58.75,0,2.45,0.58
16/02/2010,15.99,15.76,3.19,70.31,0.01,2.28,0.54
17/02/2010,15.99,15.94,5.71,75.06,9.34,2.52,0.82
18/02/2010,15.99,12.15,4.69,90.69,20.2,2.91,0.41
19/02/2010,15.99,16.04,0.18,76.38,0.24,2.18,0.42
20/02/2010,15.99,15.73,1.94,73.12,0,2.92,0.12
21/02/2010,15.99,15.79,1.23,64.88,0,3.09,0.2
22/02/2010,15.99,15.99,0.57,49.06,0,2.47,0.18
23/02/2010,15.99,14.92,1.83,50.75,0,3.41,0.64
24/02/2010,15.99,17.56,-2.06,40,0,4.01,0.73
25/02/2010,15.99,17.99,1.76,36.81,0,2.91,0.52
26/02/2010,15.99,20.62,1.61,43.25,0,2.55,0.75
27/02/2010,15.99,22.38,3.19,43.69,0,2.71,0.34
28/02/2010,15.99,16.9,4.47,65.94,0.01,4.21,0.98
01/03/2010,15.99,16.4,2.11,59.69,0,2.73,0.52
02/03/2010,15.99,21.23,0.73,46.56,0,2.65,0.7
03/03/2010,15.99,20.65,3.97,45.88,0,2.54,0.35
04/03/2010,15.99,20.9,6.79,48.88,0,2.76,0.04
05/03/2010,15.99,18.59,7.9,57.56,0.03,2.65,0.05
06/03/2010,15.99,12.64,8.17,81.25,5.96,1.78,0.12
07/03/2010,15.99,15.85,8.13,81.75,1.54,2.91,0.96
08/03/2010,15.99,16.9,7.02,79.19,2,3.86,0.51
09/03/2010,15.99,17.4,4.01,42.06,0,3.59,0.61
10/03/2010,15.99,16.09,2.05,39.31,0,3.52,0.34
11/03/2010,15.99,16.19,1.06,40.5,0,3.08,0.41
12/03/2010,15.99,21.98,-0.52,35.25,0,2.78,0.09
13/03/2010,15.99,21.65,3.43,31.56,0,3.05,0.31
14/03/2010,15.99,17.48,5.79,36.25,0,1.84,0.16
15/03/2010,15.99,20.2,5.25,33.56,0.01,2.55,0.11
16/03/2010,15.99,22.56,3.89,42.88,0.02,3.55,0.23
17/03/2010,15.99,24.73,2.72,33.88,0,3.56,0.34
18/03/2010,15.99,21.73,6.48,49.5,0,3.52,0.86
19/03/2010,15.99,18.58,3.95,58.38,0,3.73,0.41
20/03/2010,15.99,21.63,-0.02,47.38,0,2.66,0.41
21/03/2010,15.99,23.25,1.6,40.69,0,3.44,0.05
22/03/2010,15.99,23.11,5.1,38,0,3.05,0.44
23/03/2010,15.99,20.83,6.04,46.44,0,3.38,0.12
24/03/2010,15.99,19.87,2.06,41,0,3.59,0.03
25/03/2010,15.99,23.19,0.26,36.06,0,2.96,1.04
26/03/2010,15.99,23.55,3.75,37,0,3.08,0.59
27/03/2010,15.99,23.83,5.66,36.38,0,3.02,0.54
28/03/2010,15.99,25.05,4.02,31.75,0,3.05,0.44
29/03/2010,15.99,24.73,4.13,35.12,0,2.8,0.26
30/03/2010,15.99,24.4,5.1,44.06,0,3.05,0.06
31/03/2010,15.99,24.24,6.98,46.81,0,3.12,0.26
01/04/2010,15.99,20.65,5.81,48.88,0,3.56,0.34
02/04/2010,15.99,22.68,3.98,37.44,0,3.01,0.22
03/04/2010,15.99,24.55,7.73,33.38,0,3.15,0.47
04/04/2010,15.99,25.44,7.1,35.69,0,3.08,0.28
05/04/2010,15.99,25.99,7.59,39.19,0,3.44,0.39
06/04/2010,15.99,25.51,10.41,38.31,0,3.63,0.2
07/04/2010,15.99,24.77,8.08,42.75,0,3.31,0.02
08/04/2010,15.99,26.18,5.04,41.81,0,3.34,0.48
09/04/2010,15.99,20.66,8.92,56.94,0,3.07,0.2
10/04/2010,15.99,23.82,7.66,67.44,0,3.8,0.43
11/04/2010,15.99,24.32,8.3,58.19,0,3.3,0.23
12/04/2010,15.99,24.71,7.71,47.5,0,3.28,0.35
13/04/2010,15.99,23.91,5.09,59.5,0,3.08,0.03
14/04/2010,15.99,24.99,8.46,56.75,0,3.49,0.48
15/04/2010,15.99,24.32,6.73,54,0,2.68,0.38
16/04/2010,15.99,26.82,7.13,58.94,0,2.12,0.66
17/04/2010,15.99,25.17,8.72,61.5,0.01,3.71,0.65
18/04/2010,15.99,24.48,7.71,64.81,0,2.98,0.52
19/04/2010,15.99,23.54,8.38,64.56,0,3.62,0.12
20/04/2010,15.99,22.32,8.21,55.88,0,3.1,0.25
21/04/2010,15.99,23.6,7.71,52.94,0,3.63,0.48
22/04/2010,15.99,20.44,6.3,60.88,0.04,4.62,1.05
23/04/2010,15.99,19,6.62,70.62,0,4.55,0.62
24/04/2010,15.99,22.8,3.71,42.94,0,3.6,0.09
25/04/2010,15.99,24.91,5.15,26.88,0,3.29,0.5
26/04/2010,15.99,25.79,5.25,33.56,0,3.04,0.37
27/04/2010,15.99,22.19,6.84,47.69,0,3.27,0.3
28/04/2010,15.99,26.65,5.26,51.12,0,3.26,0.34
29/04/2010,15.99,22.96,6.07,53,0,3.55,0.31
30/04/2010,15.99,20.69,3.04,56.81,0.08,4.16,0.2
01/05/2010,15.99,15.05,4.16,78.56,2.53,4.28,0.68
02/05/2010,15.99,23.53,-0.55,46,0.05,2.86,0.27
03/05/2010,15.99,29.19,6.63,22.94,0,2.97,0.28
04/05/2010,15.99,31.5,9.01,20.81,0,3.12,0.68
05/05/2010,15.99,30.48,13.16,28,0,3.18,0.58
06/05/2010,15.99,30.01,11.72,33.31,0,3.63,0.99
07/05/2010,15.99,32.7,11.82,33.06,0,2.74,1.15
08/05/2010,15.99,32.94,12.33,34.75,0.73,3.47,0.44
09/05/2010,15.99,30.05,13.28,44.94,0.07,3.59,0.74
10/05/2010,15.99,29.31,12.12,37.62,0,3.2,0.48
11/05/2010,15.99,29.64,12.81,31.31,0,3.45,0.47
12/05/2010,15.99,27.64,14.22,27,0,3.57,0.36
13/05/2010,15.99,27.47,12.77,26.81,0,3.83,0.14
14/05/2010,15.99,28.35,11.46,26.06,0,3.66,0.35
15/05/2010,15.99,28.18,11.87,29.69,0,3.74,0.66
16/05/2010,15.99,28.21,9.94,26.62,0,3.41,0.46
17/05/2010,15.99,28.3,11,27.31,0,2.58,0.44
18/05/2010,15.99,30.02,9.86,30.62,0,3.69,0.81
19/05/2010,15.99,29.99,9.15,22.12,0,3.66,1.02
20/05/2010,15.99,30.88,9.42,22.75,0,3.59,0.71
21/05/2010,15.99,29.77,12.44,32.38,0,3.41,0.05
22/05/2010,15.99,28.91,10.43,36.94,0,3.66,0.05
23/05/2010,15.99,26.89,10.17,33.44,0,3.52,0.05
24/05/2010,15.99,27.44,10.15,29.38,0,3.37,0.19
25/05/2010,15.99,28.04,9.85,29.94,0,3.14,0.04
26/05/2010,15.99,29.32,11.52,29.5,0,2.79,0.29
27/05/2010,15.99,29.33,8.4,40.19,0.28,2.98,0.48
28/05/2010,15.99,27.89,10.05,49.44,0.5,3.32,0.35
29/05/2010,15.99,28.04,10.49,56.69,0.01,3.61,0.42
30/05/2010,15.99,27.47,8.4,58.75,0,3.02,0.68
31/05/2010,15.99,29.58,11.8,58.31,2.28,2.88,0.24
01/06/2010,15.99,28.9,10.86,63.62,0.04,3.61,0.57
02/06/2010,15.99,28.84,9.36,55.94,0,3.66,0.41
03/06/2010,15.99,28.85,8.61,54.25,0,2.7,0.52
04/06/2010,15.99,32.06,11.48,43.62,0.01,2.12,0.61
05/06/2010,15.99,32.46,13.28,41.56,0,2.05,0.37
