Year,T2M_RANGE,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS10M_MAX,WS10M_MIN
01/01/2010,16.66,17.12,0.45,56.31,0,5.8,1.59
02/01/2010,11.2,17.79,6.58,65.56,1.42,5.95,2.28
03/01/2010,14.91,19.16,4.25,60.44,0.19,4.84,2.41
04/01/2010,16.8,18,1.19,62.5,0.01,3.7,1.61
05/01/2010,17.32,19.83,2.51,59.81,0.01,6.59,0.72
06/01/2010,14.27,20.11,5.84,50.44,0,6.15,1.72
07/01/2010,17.01,19.72,2.71,47.44,0,3.98,0.84
08/01/2010,9.36,7.12,-2.24,60.25,0,5.34,0.58
09/01/2010,17.68,13.14,-4.55,55.31,0,4.05,0.37
10/01/2010,20.85,16.89,-3.95,53.94,0,6.95,1.5
11/01/2010,20.04,19.64,-0.4,59,0.13,6.92,1.02
12/01/2010,10.12,13.79,3.68,69.81,1.76,3.86,0.16
13/01/2010,15.35,18.18,2.82,66.56,0.03,4.7,2.42
14/01/2010,15.64,18.89,3.24,62.81,6.15,6.41,2.62
15/01/2010,8.28,10.89,2.61,75.5,1.71,7.07,2.37
16/01/2010,11.77,14.48,2.71,64.62,0.22,3.86,1
17/01/2010,17.52,20.29,2.76,40.38,0,6.95,0.05
18/01/2010,19.31,22.16,2.85,51.19,0,5.3,2.05
19/01/2010,19.71,25.21,5.5,45.25,0,7.05,4.12
20/01/2010,21.77,24.19,2.41,52.56,0,9.9,3.89
21/01/2010,21.91,24.23,2.33,52.06,0,8.88,3.78
22/01/2010,23.28,26.77,3.49,38.5,0,9.73,5.44
23/01/2010,21.96,24.94,2.98,47.56,0,11.91,3.84
24/01/2010,11.95,16.3,4.34,61.56,0,6.18,1.53
25/01/2010,21.8,21.95,0.15,40.44,0,3.88,0.34
26/01/2010,21.58,24.99,3.41,37.94,0,3.69,0.53
27/01/2010,19.38,25.3,5.91,54.75,0,7.18,3.47
28/01/2010,18.07,24.63,6.56,54.25,0,8.17,3.27
29/01/2010,18.17,21.7,3.53,57,0,5.02,0.55
30/01/2010,19.02,22.26,3.23,51.5,0,3.98,0.9
31/01/2010,17.51,21.05,3.55,55.62,2.37,7.16,2.6
01/02/2010,16.54,20.74,4.2,58.94,0.37,4.37,1.05
02/02/2010,7.64,12.32,4.68,82.38,15.4,6.13,2.44
03/02/2010,5.27,13.01,7.73,78.31,17.83,7.3,1.84
04/02/2010,14.12,17.72,3.59,58.06,0.44,8.15,0.98
05/02/2010,17.8,17.69,-0.12,52.19,0,4.45,2.22
06/02/2010,20.94,22.45,1.51,41.44,0,4.07,1.17
07/02/2010,20.98,23.85,2.87,38.38,0,5.53,3.34
08/02/2010,20.68,22.28,1.6,54.12,0,6.73,2.73
09/02/2010,16.98,20.04,3.05,59.81,0,3.57,1.3
10/02/2010,15.67,23.77,8.09,52.62,0.01,5.39,1.64
11/02/2010,16.42,20.82,4.4,53.94,0,12.16,0.75
12/02/2010,17.21,18.27,1.06,37.06,0,5.74,0.96
13/02/2010,18.45,22.15,3.69,41.19,0,6.52,0.56
14/02/2010,15.99,21.14,5.15,45.62,0.01,4.71,2.05
15/02/2010,14.53,16.84,2.31,63.69,0.13,7.09,0.55
16/02/2010,14.88,18.64,3.76,58.19,0,5.38,0.73
17/02/2010,11.54,17.02,5.48,63.88,4,3.49,0.45
18/02/2010,10.98,17.28,6.3,74.75,3.99,5.62,0.59
19/02/2010,16.45,20.57,4.12,59.69,0.29,5.51,2.49
20/02/2010,18.59,23.12,4.52,50.25,0,6.95,2.73
21/02/2010,21.32,24.02,2.7,47.44,0,6.59,2.44
22/02/2010,20.27,21.59,1.32,46.31,0,6.12,0.38
23/02/2010,17.91,19.94,2.03,49,0.01,8.11,2.95
24/02/2010,14.82,13.69,-1.13,46.81,0,6.33,1.91
25/02/2010,25.74,24.64,-1.1,33,0,7.99,3.62
26/02/2010,16.7,19.52,2.83,43.81,0,6.97,3.13
27/02/2010,22.05,23.05,1,42,0,6.96,0.34
28/02/2010,20.28,27.07,6.79,45.25,0,11.35,2.92
01/03/2010,15.58,20.13,4.55,50.38,0,10.35,2.62
02/03/2010,17.52,17.44,-0.08,49.62,0,3.93,2.02
03/03/2010,23,24.76,1.75,47.25,0,4.66,1.78
04/03/2010,20.52,27.03,6.51,36.69,0,3.97,0.7
05/03/2010,17.12,26.15,9.03,42,0,5.48,1.29
06/03/2010,11.45,22.38,10.94,63.69,0.96,5.79,1.02
07/03/2010,10.96,22.21,11.25,60.75,0.23,8.54,2.95
08/03/2010,15.46,25.45,10,56,0.55,12.77,3.48
09/03/2010,19.85,26.23,6.37,45.75,0,10.22,2.98
10/03/2010,19.69,24.44,4.75,33,0,10.45,3.66
11/03/2010,14.52,20.96,6.44,32.5,0,7.69,2.61
12/03/2010,17.62,18.82,1.21,27.12,0,5.33,2.22
13/03/2010,23.34,24.77,1.44,22.75,0,3.67,0.45
14/03/2010,17.3,23.84,6.55,28.69,0,5.31,1.66
15/03/2010,15.03,21.94,6.9,30.56,0.01,3.49,1.16
16/03/2010,12.14,16.3,4.16,56.56,0.35,7.33,3
17/03/2010,18.41,20.08,1.66,36.25,0,3.8,1.37
18/03/2010,24.38,26.69,2.31,35.62,0,6.19,1.52
19/03/2010,22.3,26.58,4.27,33.88,0,8.89,2.76
20/03/2010,16.97,21.33,4.36,45.88,0,6.58,3.41
21/03/2010,18.82,19.31,0.49,33.62,0,5.45,1.01
22/03/2010,25.52,26.49,0.97,21.25,0,5.07,0.3
23/03/2010,18.94,26.72,7.79,28.25,0,6.01,3.57
24/03/2010,21.03,26.87,5.83,28.31,0,6.8,2.34
25/03/2010,19.23,24.59,5.36,30.88,0,7.02,0.93
26/03/2010,22.01,27.91,5.9,37.31,0,5.36,1.17
27/03/2010,18.26,25.76,7.51,22.44,0,6.21,1.13
28/03/2010,16.92,22.66,5.75,28.44,0,9.1,1.37
